,datetime,code,name,block,block2,block3,pct
244,2018-07-05 09:38:00,002374,丽鹏股份,制造业,黄河三角,智能电网,0.03
245,2018-07-05 09:38:00,300062,中能电气,制造业,黄河三角,智能电网,0.04
246,2018-07-05 09:39:00,002849,威星智能,已高送转,两年新股,上周强势,0.05
247,2018-07-05 09:39:00,002866,传艺科技,已高送转,两年新股,上周强势,0.05
248,2018-07-05 09:40:00,002860,星帅尔,白色家电,浙江,新能源汽车,0.05
249,2018-07-05 09:41:00,300282,三盛教育,计算机应用,股权转让,职业教育,0.03
250,2018-07-05 09:42:00,002499,科林环保,重组预案,节能环保,节能,0.04
251,2018-07-05 09:46:00,002108,沧州明珠,雄安新区,锂电池,送转超跌,0.04
252,2018-07-05 09:47:00,300610,晨化股份,页岩气,送转超跌,股权激励,0.05
253,2018-07-05 09:48:00,000973,佛塑科技,证金持股,制造业,锂电池,0.03
254,2018-07-05 09:48:00,002606,大连电瓷,证金持股,制造业,锂电池,0.05
255,2018-07-05 09:49:00,300689,澄天伟业,金融IC,通信设备,近期异动,0.04
256,2018-07-05 09:51:00,002571,德力股份,近期新低,股权转让,网络游戏,0.04
257,2018-07-05 09:52:00,002356,赫美集团,昨高换手,个人持股,次新股,0.03
258,2018-07-05 09:52:00,300680,隆盛科技,昨高换手,个人持股,次新股,0.03
259,2018-07-05 09:52:00,300710,万隆光电,昨高换手,个人持股,次新股,0.03
260,2018-07-05 09:54:00,002725,跃岭股份,芯片概念,浙江,活跃股,0.03
261,2018-07-05 09:58:00,600735,新华锦,黄河三角,高质押股,贸易,0.04
262,2018-07-05 10:02:00,300686,智动力,高市盈率,近期新高,个人持股,0.06
263,2018-07-05 10:04:00,002504,弘高创意,制造业,送转超跌,摘帽,0.05
264,2018-07-05 10:04:00,300333,兆日科技,制造业,送转超跌,摘帽,0.03
265,2018-07-05 10:06:00,002873,新天药业,贵州,昨日涨停,已高送转,0.04
266,2018-07-05 10:07:00,300282,三盛教育,计算机应用,股权转让,职业教育,0.03
267,2018-07-05 10:11:00,002052,同洲电子,视听器材,股权转让,电子信息,0.05
268,2018-07-05 10:18:00,300416,苏试试验,高市盈率,证金持股,江苏,0.03
269,2018-07-05 10:23:00,002356,赫美集团,高送转,微利股,互联网+,0.04
270,2018-07-05 10:29:00,600734,实达集团,高质押股,文化传媒,久不分红,0.04
271,2018-07-05 10:34:00,300707,威唐工业,高贝塔值,近期异动,白马股,0.04
272,2018-07-05 10:36:00,300707,威唐工业,高贝塔值,近期异动,白马股,0.03
273,2018-07-05 10:46:00,300738,奥飞数据,计算机应用,网络安全,深次新股,0.03
274,2018-07-05 10:50:00,300312,邦讯技术,高质押股,高市盈率,5G概念,0.04
275,2018-07-05 10:54:00,300312,邦讯技术,高质押股,高市盈率,5G概念,0.04
276,2018-07-05 11:01:00,600695,绿庭投资,被举牌,猪肉,微利股,0.03
277,2018-07-05 11:07:00,300074,华平股份,计算机应用,股权转让,智能家居,0.03
278,2018-07-05 11:08:00,002388,新亚制程,高质押股,蓝宝石,电子信息,0.04
279,2018-07-05 11:17:00,603970,中农立华,近期异动,活跃股,次新股,0.05
280,2018-07-05 11:26:00,300530,达志科技,锂电池,股权激励,稀缺资源,0.03
281,2018-07-05 11:26:00,600432,退市吉恩,锂电池,股权激励,稀缺资源,0.03
282,2018-07-05 13:01:00,002766,索菱股份,陆股通买,重组股,送转超跌,0.05
283,2018-07-05 13:16:00,300746,汉嘉设计,高市净率,近期异动,浙江,0.05
284,2018-07-05 13:17:00,600626,XD申达股,融资融券标的,融资融券,纺织制造,0.03
285,2018-07-05 13:18:00,002451,摩恩电气,风能,风电,重组预案,0.04
286,2018-07-05 13:25:00,002922,伊戈尔,高市盈率,节能照明,业绩预降,0.04
287,2018-07-05 13:26:00,600975,新五丰,长株潭,猪肉,湖南,0.05
288,2018-07-05 13:27:00,002567,唐人神,雄安新区,长株潭,重组股,0.04
289,2018-07-05 13:32:00,002766,索菱股份,陆股通买,重组股,送转超跌,0.03
290,2018-07-05 13:37:00,002756,永兴特钢,高股息股,锂电池,钢铁,0.04
291,2018-07-05 13:38:00,603388,元成股份,送转超跌,装饰园林,美丽中国,0.07
292,2018-07-05 13:39:00,603388,元成股份,送转超跌,装饰园林,美丽中国,0.05
293,2018-07-05 13:53:00,600095,哈高科,黑龙江,雄安新区,金融改革,0.03
294,2018-07-05 14:13:00,002774,快意电梯,高质押股,近期异动,股权激励,0.04
295,2018-07-05 14:14:00,603321,梅轮电梯,浙江,次新超跌,次新股,0.03
296,2018-07-05 14:34:00,300282,三盛教育,计算机应用,股权转让,职业教育,0.05
297,2018-07-05 14:43:00,300356,光一科技,预计扭亏,重组预案,送转超跌,0.06
298,2018-07-05 14:47:00,600638,新黄浦,被举牌,期货概念,房地产开发,0.03
299,2018-07-05 14:50:00,300551,古鳌科技,已高送转,小盘股,两年新股,0.04
300,2018-07-05 14:55:00,002220,天宝食品,辽宁,股权转让,振兴东北,0.03
301,2018-07-05 14:57:00,002742,三圣股份,跨境电商,户数增加,高质押股,0.04
302,2018-07-05 14:57:00,300013,新宁物流,跨境电商,户数增加,高质押股,0.03
303,2018-07-05 14:57:00,600053,九鼎投资,跨境电商,户数增加,高质押股,0.03
304,2018-07-05 15:00:00,603618,杭电股份,石墨烯,电气设备,浙江,0.05
305,2018-07-06 09:31:00,000995,*ST皇台,浙江,制造业,小盘股,0.03
306,2018-07-06 09:31:00,002333,罗普斯金,浙江,制造业,小盘股,0.03
307,2018-07-06 09:31:00,002801,微光股份,浙江,制造业,小盘股,0.04
308,2018-07-06 09:31:00,002866,传艺科技,浙江,制造业,小盘股,0.04
309,2018-07-06 09:31:00,002890,弘宇股份,浙江,制造业,小盘股,0.04
310,2018-07-06 09:31:00,300013,新宁物流,浙江,制造业,小盘股,0.06
311,2018-07-06 09:31:00,300283,温州宏丰,浙江,制造业,小盘股,0.03
312,2018-07-06 09:31:00,300499,高澜股份,浙江,制造业,小盘股,0.06
313,2018-07-06 09:31:00,300609,汇纳科技,浙江,制造业,小盘股,0.03
314,2018-07-06 09:31:00,300673,佩蒂股份,浙江,制造业,小盘股,0.03
315,2018-07-06 09:31:00,600081,东风科技,浙江,制造业,小盘股,0.03
316,2018-07-06 09:31:00,600833,第一医药,浙江,制造业,小盘股,0.04
317,2018-07-06 09:31:00,603085,天成自控,浙江,制造业,小盘股,0.05
318,2018-07-06 09:31:00,603730,岱美股份,浙江,制造业,小盘股,0.03
319,2018-07-06 09:32:00,000802,北京文化,高市盈率,新能源汽车,新能源车,0.04
